"",BBDP1.M.DE.N.VPI.C.C2C011.I15.A,BBDP1.M.DE.N.VPI.C.C2C011.I15.A_FLAGS
"",Consumer price index / Germany / Unadjusted figure / 01.1 Food,
BBK_COMM_SRC,"Statistisches Bundesamt, Wiesbaden.",
Decimals,1,
Time format code,P1M,
unit,2015=100,
unit multiplier,One,
last update,2022-04-12 08:09:56,
1991-01,69.5,
1991-02,70.0,
1991-03,70.4,
1991-04,70.9,
1991-05,71.0,
1991-06,71.5,
1991-07,71.7,
1991-08,70.9,
1991-09,70.3,
1991-10,70.3,
1991-11,71.3,
1991-12,71.4,
1992-01,72.1,
1992-02,72.6,
1992-03,72.3,
1992-04,72.9,
1992-05,73.0,
1992-06,73.0,
1992-07,72.7,
1992-08,71.7,
1992-09,71.4,
1992-10,71.3,
1992-11,71.4,
1992-12,71.4,
1993-01,72.1,
1993-02,72.6,
1993-03,72.6,
1993-04,73.0,
1993-05,73.0,
1993-06,73.2,
1993-07,72.9,
1993-08,72.3,
1993-09,72.1,
1993-10,72.1,
1993-11,72.2,
1993-12,72.4,
1994-01,72.6,
1994-02,73.1,
1994-03,73.2,
1994-04,73.8,
1994-05,74.3,
1994-06,74.6,
1994-07,74.4,
1994-08,73.7,
1994-09,73.0,
1994-10,73.3,
1994-11,73.0,
1994-12,73.0,
1995-01,73.9,
1995-02,74.6,
1995-03,74.4,
1995-04,74.6,
1995-05,75.0,
1995-06,74.9,
1995-07,74.4,
1995-08,73.3,
1995-09,73.1,
1995-10,72.9,
1995-11,73.0,
1995-12,73.0,
1996-01,74.1,
1996-02,74.7,
1996-03,75.4,
1996-04,75.7,
1996-05,75.5,
1996-06,75.5,
1996-07,75.4,
1996-08,74.4,
1996-09,73.8,
1996-10,73.5,
1996-11,73.4,
1996-12,73.7,
1997-01,75.4,
1997-02,75.5,
1997-03,75.1,
1997-04,75.5,
1997-05,76.2,
1997-06,76.4,
1997-07,76.0,
1997-08,75.2,
1997-09,75.1,
1997-10,75.0,
1997-11,75.1,
1997-12,75.7,
1998-01,76.5,
1998-02,76.5,
1998-03,76.2,
1998-04,76.6,
1998-05,77.1,
1998-06,77.2,
1998-07,76.6,
1998-08,75.8,
1998-09,75.4,
1998-10,75.0,
1998-11,75.2,
1998-12,75.5,
1999-01,76.3,
1999-02,76.3,
1999-03,76.2,
1999-04,76.4,
1999-05,76.5,
1999-06,76.1,
1999-07,75.4,
1999-08,74.5,
1999-09,74.1,
1999-10,73.8,
1999-11,74.0,
1999-12,74.3,
2000-01,74.9,
2000-02,75.5,
2000-03,74.8,
2000-04,75.3,
2000-05,75.6,
2000-06,75.6,
2000-07,75.2,
2000-08,74.4,
2000-09,74.1,
2000-10,74.1,
2000-11,74.4,
2000-12,75.1,
2001-01,76.4,
2001-02,76.8,
2001-03,77.5,
2001-04,78.9,
2001-05,80.5,
2001-06,80.7,
2001-07,80.2,
2001-08,78.8,
2001-09,78.7,
2001-10,78.7,
2001-11,78.3,
2001-12,78.7,
2002-01,81.4,
2002-02,80.9,
2002-03,80.7,
2002-04,80.7,
2002-05,80.6,
2002-06,79.9,
2002-07,79.3,
2002-08,78.5,
2002-09,78.3,
2002-10,77.9,
2002-11,77.6,
2002-12,77.9,
2003-01,78.8,
2003-02,79.3,
2003-03,79.6,
2003-04,79.9,
2003-05,80.0,
2003-06,80.2,
2003-07,79.6,
2003-08,78.7,
2003-09,79.1,
2003-10,79.2,
2003-11,79.0,
2003-12,79.2,
2004-01,80.1,
2004-02,79.7,
2004-03,79.5,
2004-04,79.6,
2004-05,79.9,
2004-06,80.0,
2004-07,79.4,
2004-08,78.6,
2004-09,78.1,
2004-10,78.0,
2004-11,77.9,
2004-12,78.8,
2005-01,79.1,
2005-02,79.9,
2005-03,80.3,
2005-04,79.8,
2005-05,80.0,
2005-06,79.8,
2005-07,78.8,
2005-08,78.0,
2005-09,77.9,
2005-10,77.6,
2005-11,77.8,
2005-12,78.7,
2006-01,79.7,
2006-02,80.2,
2006-03,79.8,
2006-04,80.4,
2006-05,80.9,
2006-06,80.9,
2006-07,80.5,
2006-08,80.4,
2006-09,80.9,
2006-10,80.4,
2006-11,80.8,
2006-12,81.1,
2007-01,82.2,
2007-02,82.1,
2007-03,81.9,
2007-04,83.2,
2007-05,82.7,
2007-06,83.0,
2007-07,82.9,
2007-08,83.0,
2007-09,83.6,
2007-10,85.5,
2007-11,86.7,
2007-12,87.2,
2008-01,88.5,
2008-02,88.5,
2008-03,89.0,
2008-04,89.3,
2008-05,89.3,
2008-06,89.4,
2008-07,89.6,
2008-08,89.2,
2008-09,89.0,
2008-10,89.1,
2008-11,88.5,
2008-12,89.0,
2009-01,89.5,
2009-02,89.5,
2009-03,89.1,
2009-04,88.7,
2009-05,88.2,
2009-06,88.5,
2009-07,87.5,
2009-08,86.5,
2009-09,86.2,
2009-10,86.1,
2009-11,86.5,
2009-12,87.2,
2010-01,88.4,
2010-02,88.7,
2010-03,89.5,
2010-04,90.1,
2010-05,89.4,
2010-06,89.1,
2010-07,89.0,
2010-08,88.5,
2010-09,88.6,
2010-10,88.4,
2010-11,89.1,
2010-12,90.1,
2011-01,90.4,
2011-02,91.1,
2011-03,91.0,
2011-04,91.1,
2011-05,91.5,
2011-06,91.0,
2011-07,90.9,
2011-08,90.7,
2011-09,90.9,
2011-10,91.1,
2011-11,91.4,
2011-12,92.0,
2012-01,92.9,
2012-02,94.1,
2012-03,94.4,
2012-04,94.2,
2012-05,93.9,
2012-06,94.3,
2012-07,93.7,
2012-08,93.6,
2012-09,93.6,
2012-10,94.1,
2012-11,95.3,
2012-12,96.2,
2013-01,97.1,
2013-02,97.0,
2013-03,97.9,
2013-04,98.0,
2013-05,99.0,
2013-06,99.3,
2013-07,99.1,
2013-08,98.2,
2013-09,97.9,
2013-10,98.1,
2013-11,98.4,
2013-12,99.8,
2014-01,100.6,
2014-02,100.4,
2014-03,100.1,
2014-04,99.8,
2014-05,99.4,
2014-06,99.3,
2014-07,99.1,
2014-08,98.5,
2014-09,98.8,
2014-10,98.7,
2014-11,98.4,
2014-12,98.7,
2015-01,99.3,
2015-02,100.2,
2015-03,100.1,
2015-04,100.9,
2015-05,100.8,
2015-06,100.1,
2015-07,99.4,
2015-08,99.1,
2015-09,99.7,
2015-10,100.2,
2015-11,100.3,
2015-12,99.9,
2016-01,100.0,
2016-02,100.8,
2016-03,101.3,
2016-04,101.5,
2016-05,100.8,
2016-06,100.4,
2016-07,100.7,
2016-08,100.2,
2016-09,100.3,
2016-10,100.4,
2016-11,101.6,
2016-12,102.7,
2017-01,103.5,
2017-02,105.7,
2017-03,103.7,
2017-04,103.2,
2017-05,103.1,
2017-06,102.9,
2017-07,103.2,
2017-08,103.1,
2017-09,103.6,
2017-10,104.6,
2017-11,104.7,
2017-12,105.4,
2018-01,106.3,
2018-02,106.2,
2018-03,106.4,
2018-04,106.4,
2018-05,106.6,
2018-06,106.4,
2018-07,105.9,
2018-08,105.5,
2018-09,106.7,
2018-10,106.5,
2018-11,106.3,
2018-12,106.6,
2019-01,107.2,
2019-02,107.7,
2019-03,107.1,
2019-04,107.2,
2019-05,107.6,
2019-06,107.7,
2019-07,108.1,
2019-08,108.3,
2019-09,108.1,
2019-10,107.7,
2019-11,108.2,
2019-12,108.8,
2020-01,109.7,
2020-02,111.3,
2020-03,111.1,
2020-04,112.3,
2020-05,112.4,
2020-06,112.4,
2020-07,109.4,
2020-08,109.1,
2020-09,108.8,
2020-10,109.2,
2020-11,109.7,
2020-12,109.3,
2021-01,112.1,
2021-02,112.9,
2021-03,112.9,
2021-04,114.4,
2021-05,114.1,
2021-06,113.7,
2021-07,114.1,
2021-08,114.1,
2021-09,114.1,
2021-10,114.0,
2021-11,114.6,
2021-12,115.9,
2022-01,117.7,
2022-02,118.9,
2022-03,119.9,
